ID,Donor,Acceptor,DA,plan_Solutions_1_S1,plan_Solutions_1_ann. time,plan_Solutions_1_conc.,plan_Solutions_1_speed,Layer thickness [nm],features_D.1.c_UV,features_D.1a.w_UV,features_D.1a.c_UV,features_D.2.a_UV,features_A.0.a_UV,features_A.1.w_UV,features_A.1.c_UV,features_A.1a.w_UV,features_atot_UV,features_XD_UV,features_XA_UV,FF_IV,JSC_IV,PCE_IV,VOC_IV,Deg_JSC_IV,Deg_VOC_IV,Deg_FF_IV,Deg_PCE_IV,Retained_JSC_IV,Retained_VOC_IV,Retained_FF_IV,Retained_PCE_IV,HotOneEncoded_plan_Solutions_1_M1_PM6_321136,HotOneEncoded_plan_Solutions_1_M1_PTVT-T_321032,HotOneEncoded_plan_Solutions_1_M1_PTQ10_321145,HotOneEncoded_plan_Solutions_1_M1_PCE10_120058,HotOneEncoded_plan_Solutions_1_M1_D18CL_323001,HotOneEncoded_plan_Solutions_1_M2_BTP-4F-12 (Y12)_321125,HotOneEncoded_plan_Solutions_1_M2_ITIC_120057,HotOneEncoded_plan_Solutions_1_M2_ITIC-4F_120033,HotOneEncoded_plan_Solutions_1_M2_L8-BO_321144,HotOneEncoded_plan_Solutions_1_M2_PY-IT_321127
29,PM6,L8-BO,PM6-L8-BO,xylene,2,21,1000,208.7656531,2.00100818,0.075450416,2.166195352,0.716238459,0.000533573,0.073326211,1.553905245,0.090305358,0.538830368,0.515284445,0.484715555,63.82305806,26.61439471,14.31947813,0.843010507,16.7906,0.8053,54.8,7.4101,0.630884158,0.95526686,0.858623853,0.517483943,1,0,0,0,0,0,0,0,1,0
29,PM6,L8-BO,PM6-L8-BO,xylene,2,21,1000,203.13787,2.000729881,0.07534941,2.165958035,0.722307151,8.39399E-12,0.073559148,1.553485816,0.089866262,0.526051996,0.512358316,0.487641684,64.21511491,26.1155099,14.14107065,0.84323091,17.1584,0.8076,55.56,7.6991,0.657019528,0.957744777,0.865216859,0.544449582,1,0,0,0,0,0,0,0,1,0
29,PM6,L8-BO,PM6-L8-BO,xylene,2,21,1000,197.7679504,2.000272559,0.075369388,2.165607215,0.721818117,3.85673E-23,0.072896728,1.554069005,0.089605842,0.511147739,0.51272652,0.48727348,64.16492912,26.03300055,14.12734766,0.845743534,17.4899,0.809,55.77,7.8914,0.671835733,0.956554756,0.869166393,0.558590345,1,0,0,0,0,0,0,0,1,0
29,PM6,L8-BO,PM6-L8-BO,xylene,2,21,1000,208.9112292,2.001221277,0.075376773,2.166462072,0.716378621,0.00082298,0.073663158,1.553526383,0.09030307,0.539439736,0.51497475,0.48502525,64.25235429,26.02828775,14.12639758,0.844688887,18.0833,0.8127,55.93,8.2196,0.694755651,0.962129386,0.87047394,0.581861013,1,0,0,0,0,0,0,0,1,0
30,PM6,L8-BO,PM6-L8-BO,xylene,0,21,3000,123.9740361,2.004746842,0.07660227,2.168541348,0.666301412,0.071627031,0.07092459,1.565877953,0.090513153,0.305934092,0.512010078,0.487989922,71.74403568,25.37820529,15.78553348,0.866986939,17.2923,0.8247,48.77,6.9559,0.68138388,0.951225402,0.679777762,0.440650296,1,0,0,0,0,0,0,0,1,0
30,PM6,L8-BO,PM6-L8-BO,xylene,0,21,3000,123.3686283,2.004724921,0.076672201,2.168430927,0.664370797,0.072094586,0.070592218,1.566053211,0.090532015,0.303344812,0.513780353,0.486219647,71.12742628,25.19930605,15.51807236,0.865789067,17.2351,0.8204,58.77,8.3104,0.683951374,0.947574913,0.826263554,0.535530432,1,0,0,0,0,0,0,0,1,0
30,PM6,L8-BO,PM6-L8-BO,xylene,0,21,3000,124.5151022,2.004743669,0.076709194,2.168349897,0.664862371,0.070068328,0.069994034,1.566856332,0.09030735,0.305785035,0.515222387,0.484777613,70.93226812,25.14397839,15.46243606,0.866962026,16.8744,0.8203,58.51,8.0982,0.671110981,0.946177543,0.82487141,0.523733774,1,0,0,0,0,0,0,0,1,0
30,PM6,L8-BO,PM6-L8-BO,xylene,0,21,3000,125.420357,2.004724393,0.076618531,2.168472635,0.6684743,0.068631161,0.070555668,1.566255823,0.090184906,0.307692069,0.515994983,0.484005017,70.6805818,25.18413708,15.42891915,0.866778865,18.1523,0.8252,59.2,8.8672,0.720783084,0.952030597,0.837570921,0.574712973,1,0,0,0,0,0,0,0,1,0
31,PM6,L8-BO,PM6-L8-BO,xylene,2,21,3000,112.5569947,1.997195394,0.076624705,2.164164416,0.650178058,0.08060515,0.070024541,1.553596384,0.092919832,0.278998381,0.503098823,0.496901177,71.35714653,26.22336475,16.14168799,0.862627021,20.0846,0.8272,59.75,9.9268,0.765904764,0.958931241,0.837337294,0.614979053,1,0,0,0,0,0,0,0,1,0
31,PM6,L8-BO,PM6-L8-BO,xylene,2,21,3000,111.1427205,1.996985725,0.07656595,2.163979277,0.648756389,0.081926757,0.070179624,1.553261904,0.093367329,0.276079428,0.501058058,0.498941942,71.39634908,26.07257012,16.02580926,0.860914695,20.5666,0.8262,60.17,10.2243,0.788821352,0.959676963,0.84276018,0.637989622,1,0,0,0,0,0,0,0,1,0
